Dataset Name,Publisher Name
prompt-payment-statistics-for-june-2014-from-acas,advisory-conciliation-and-arbitration-service
prompt-payment-statistics-for-february-2014-from-acas,advisory-conciliation-and-arbitration-service
payments-to-suppliers-over-500-for-june-2014-from-acas,advisory-conciliation-and-arbitration-service
prompt-payment-statistics-for-may-2014-from-acas,advisory-conciliation-and-arbitration-service
prompt-payment-statistics-for-july-2011-from-acas,advisory-conciliation-and-arbitration-service
payments-to-suppliers-over-500-for-february-2013-from-acas,advisory-conciliation-and-arbitration-service
prompt-payment-statistics-from-august-2011-from-acas,advisory-conciliation-and-arbitration-service
prompt-payment-statistics-for-june-2013-from-acas,advisory-conciliation-and-arbitration-service
prompt-payments-june-2011-from-acas,advisory-conciliation-and-arbitration-service
payments-to-suppliers-over-500-for-june-2013-from-acas,advisory-conciliation-and-arbitration-service
payments-to-suppliers-over-500-for-august-2012-from-acas,advisory-conciliation-and-arbitration-service
payments-to-suppliers-over-500-for-may-2014-from-acas,advisory-conciliation-and-arbitration-service
prompt-payment-statistics-for-february-2013-from-acas,advisory-conciliation-and-arbitration-service
acas-spend-april-over-500,advisory-conciliation-and-arbitration-service
acas-spend-may11-over-500,advisory-conciliation-and-arbitration-service
prompt-payment-statistics-for-january-2012-from-acas,advisory-conciliation-and-arbitration-service
payments-to-suppliers-over-500-for-october-2012-from-acas,advisory-conciliation-and-arbitration-service
payments-to-suppliers-over-500-for-october-2014-from-acas,advisory-conciliation-and-arbitration-service
acas-spend-july-over-500,advisory-conciliation-and-arbitration-service
prompt-payment-statistics-for-august-2012-from-acas,advisory-conciliation-and-arbitration-service
prompt-payment-statistics-for-april-2012-from-acas,advisory-conciliation-and-arbitration-service
payments-to-suppliers-over-500-for-december-2012-from-acas,advisory-conciliation-and-arbitration-service
prompt-payments-april-2011-acas,advisory-conciliation-and-arbitration-service
payments-to-suppliers-over-500-for-january-2012-from-acas,advisory-conciliation-and-arbitration-service
prompt-payments-may-2011-acas,advisory-conciliation-and-arbitration-service
payments-to-suppliers-over-500-in-october-2011-from-acas,advisory-conciliation-and-arbitration-service
payments-to-suppliers-over-500-for-march-2013-from-acas,advisory-conciliation-and-arbitration-service
payments-to-suppliers-over-500-for-november-2013-from-acas,advisory-conciliation-and-arbitration-service
prompt-payment-statistics-for-may-2013-from-acas,advisory-conciliation-and-arbitration-service
prompt-payment-statistics-for-october-2011-from-acas,advisory-conciliation-and-arbitration-service
payments-to-suppliers-over-500-in-january-2013-from-acas,advisory-conciliation-and-arbitration-service
prompt-payment-statistics-for-november-2013-from-acas,advisory-conciliation-and-arbitration-service
prompt-payment-statistics-for-february-2012-from-acas,advisory-conciliation-and-arbitration-service
prompt-payment-statistics-for-november-2011-from-acas,advisory-conciliation-and-arbitration-service
prompt-payment-statistics-for-july-2013-from-acas,advisory-conciliation-and-arbitration-service
payments-to-suppliers-over-500-for-april-2012-from-acas,advisory-conciliation-and-arbitration-service
prompt-payment-statistics-for-november-2012-from-acas,advisory-conciliation-and-arbitration-service
payments-t0-suppliers-over-500-for-december-2011-from-acas,advisory-conciliation-and-arbitration-service
payments-to-suppliers-over-500-for-july-2013-from-acas,advisory-conciliation-and-arbitration-service
payments-to-suppliers-over-500-in-november-2011-from-acas,advisory-conciliation-and-arbitration-service
prompt-payment-statistics-for-october-2013-from-acas,advisory-conciliation-and-arbitration-service
payments-to-suppliers-over-500-for-february-2012-from-acas,advisory-conciliation-and-arbitration-service
payments-to-suppliers-over-500-for-june-2012-from-acas,advisory-conciliation-and-arbitration-service
payments-to-suppliers-over-500-for-september-2012-from-acas,advisory-conciliation-and-arbitration-service
payments-to-suppliers-over-500-for-march-2012-from-acas,advisory-conciliation-and-arbitration-service
payments-to-suppliers-over-500-for-may-2012-from-acas,advisory-conciliation-and-arbitration-service
payments-to-suppliers-over-500-for-august-2013-from-acas,advisory-conciliation-and-arbitration-service
prompt-payment-statistics-for-december-2011-from-acas,advisory-conciliation-and-arbitration-service
payments-to-suppliers-over-500-from-acas-september-2011,advisory-conciliation-and-arbitration-service
prompt-payment-statistics-for-august-2013-from-acas,advisory-conciliation-and-arbitration-service
prompt-payment-statistics-for-april-2013-from-acas,advisory-conciliation-and-arbitration-service
prompt-payment-statistics-for-march-2012-from-acas,advisory-conciliation-and-arbitration-service
payments-to-suppliers-over-500-in-august-2011-from-acas,advisory-conciliation-and-arbitration-service
prompt-payment-statistics-for-september-2013-from-acas,advisory-conciliation-and-arbitration-service
prompt-payment-statistics-for-march-2013-from-acas,advisory-conciliation-and-arbitration-service
pesticide_usage_survey,agri-food-and-biosciences-institute
adam_1,air-accident-investigation-branch
financial-transactions-data-airedale-nhs-foundation-trust,airedale-nhs-foundation-trust
financial-transactions-data-alder-hey-childrens-hospital-nhs-foundation-trust,alder-hey-childrens-nhs-foundation-trust
allerdale-listed-buildings-land-charge-and-planning,allerdale-borough-council
allerdale-land-dedication-land-charge,allerdale-borough-council
allerdale-renovation-grant-land-charge,allerdale-borough-council
allerdale-policy-environment,allerdale-borough-council
allerdale-mod-safeguarding-zone-planning-constraint,allerdale-borough-council
allerdale-policy-renewable-energy,allerdale-borough-council
allerdale-section-177-agreements-land-charge,allerdale-borough-council
allerdale-tpos,allerdale-borough-council
allerdale-outstanding-payment-land-charge,allerdale-borough-council
allerdale-enforcement-index,allerdale-borough-council
allerdale-section-52-agreements-land-charge,allerdale-borough-council
allerdale-tree-preservation-orders-land-charge,allerdale-borough-council
allerdale-area-special-control-advertisement,allerdale-borough-council
allerdale-north-west-water-consultation-constraint,allerdale-borough-council
allerdale-social-land-addresses,allerdale-borough-council
allerdale-special-area-conservation-land-charge,allerdale-borough-council
allerdale-street-bins,allerdale-borough-council
allerdale-planning-complaints,allerdale-borough-council
allerdale-footway-lighting-maintained-by-abc,allerdale-borough-council
allerdale-building-control-register,allerdale-borough-council
allerdale-policy-retail-fronatge,allerdale-borough-council
allerdale-advertising-control-land-charge,allerdale-borough-council
allerdale-policy-coastal-zone,allerdale-borough-council
allerdale-house-multiple-occupation-land-charge,allerdale-borough-council
allerdale-policy-housing-land-availability,allerdale-borough-council
allerdale-policy-tourism,allerdale-borough-council
allerdale-policy-leisure,allerdale-borough-council
allerdale-permitted-development-rights,allerdale-borough-council
allerdale-ancient-monument-land-charge,allerdale-borough-council
allerdale-bin-collection-data,allerdale-borough-council
allerdale-grounds-maintenance-data,allerdale-borough-council
allerdale-discontinuance-order-land-charge,allerdale-borough-council
allerdale-hedgerow-removals,allerdale-borough-council
allerdale-unfit-repair-notice-land-charge,allerdale-borough-council
allerdale-private-street-work-land-charge,allerdale-borough-council
allerdale-general-vesting-declaration-land-charge,allerdale-borough-council
allerdale-policy-retail,allerdale-borough-council
allerdale-county-landscape-constraint,allerdale-borough-council
allerdale-land-ownership,allerdale-borough-council
allerdale-specific-financial-land-charge,allerdale-borough-council
allerdale-planning-applications-from-2000,allerdale-borough-council
allerdale-policy-industrial-land-availability,allerdale-borough-council
allerdale-borehole-data,allerdale-borough-council
allerdale-compulsory-rights-order-land-charge,allerdale-borough-council
allerdale-advance-payment-exception-land-charge,allerdale-borough-council
allerdale-policy-housing-allocation,allerdale-borough-council
allerdale-dedicated-instrument-land-charge,allerdale-borough-council
allerdale-section-215-agreements-land-charge,allerdale-borough-council
allerdale-compulsory-order-land-charge,allerdale-borough-council
allerdale-group-repair-grant-land-charge,allerdale-borough-council
allerdale-settlement-limit,allerdale-borough-council
allerdale-section-33-covenants-land-charge,allerdale-borough-council
allerdale-emergency-prohibition-order-land-charge,allerdale-borough-council
allerdale-light-obstruction-notice-land-charge,allerdale-borough-council
allerdale-policy-transport,allerdale-borough-council
allerdale-modification-planning-permission-land-charge,allerdale-borough-council
allerdale-shlaa-deliverable-sites,allerdale-borough-council
allerdale-conservation-area-land-charge,allerdale-borough-council
allerdale-open-space-protection-constraint,allerdale-borough-council
allerdale-land-maintenance-land-charge,allerdale-borough-council
allerdale-article-4-directions-land-charge,allerdale-borough-council
allerdale-tip-data,allerdale-borough-council
allerdale-shlaa-developable-sites,allerdale-borough-council
allerdale-land-compensation-act-land-charge,allerdale-borough-council
allerdale-revocation-of-planning-permission-land-charge,allerdale-borough-council
allerdale-demolition-order-land-charge,allerdale-borough-council
allerdale-national-air-traffic-service,allerdale-borough-council
allerdale-hadrian-wall-settings-constraint,allerdale-borough-council
allerdale-closing-order-land-charge,allerdale-borough-council
allerdale-environmental-health-notice-land-charge,allerdale-borough-council
allerdale-renewal-area-land-charge,allerdale-borough-council
allerdale-gazetteer-streetview-llpg,allerdale-borough-council
allerdale-blpu-extents,allerdale-borough-council
allerdale-smoke-control-orders-land-charge,allerdale-borough-council
allerdale-conservation-areas,allerdale-borough-council
allerdale-improvement-notice-land-charge,allerdale-borough-council
allerdale-policy-housing-commitment,allerdale-borough-council
allerdale-gazetter-local-land-property-addresses,allerdale-borough-council
allerdale-national-land-usage-database,allerdale-borough-council
allerdale-shlaa-discarded-sites,allerdale-borough-council
allerdale-section-38-agreements-land-charge,allerdale-borough-council
allerdale-wind-turbine-applications,allerdale-borough-council
allerdale-policy-housing-improvement,allerdale-borough-council
allerdale-gazetteer-streets,allerdale-borough-council
allerdale-recycling-site-data,allerdale-borough-council
allerdale-policy-conservation,allerdale-borough-council
allerdale-advertisement-control-exclusion-areas,allerdale-borough-council
allerdale-policy-transport-arterial,allerdale-borough-council
allerdale-section-106-agreements-land-charge,allerdale-borough-council
allerdale-undertakings-land-charge,allerdale-borough-council
allerdale-section-158-agreements-land-charge,allerdale-borough-council
allerdale-building-over-sewer-land-charge,allerdale-borough-council
allerdale-right-to-buy-land-charge,allerdale-borough-council
allerdale-disabled-facilities-grant-land-charge,allerdale-borough-council
allerdale-demolition-revocation-order-land-charge,allerdale-borough-council
allerdale-article-4-directions-planning,allerdale-borough-council
allerdale-advance-payments-notice-land-charge,allerdale-borough-council
allerdale-policy-town-centre,allerdale-borough-council
allerdale-locality-administartive-areas,allerdale-borough-council
allerdale-enforcement-order-land-charge,allerdale-borough-council
allerdale-environmentally-sensitive-area-land-charge,allerdale-borough-council
allerdale-planning-application-1974-to-2000,allerdale-borough-council
allerdale-miscellaneous-charge-land-charge,allerdale-borough-council
allerdale-local-development-orders,allerdale-borough-council
financial-transactions-data-animal-health,animal-health
egg-and-chick-database,animal-health-and-veterinary-laboratories-agency
emerging-threats-highlight-report-ethir,animal-health-and-veterinary-laboratories-agency
4risk,animal-health-and-veterinary-laboratories-agency
radar-rapid-analysis-and-detection-of-animal-related-risks,animal-health-and-veterinary-laboratories-agency
local-veterinary-inspector-claims,animal-health-and-veterinary-laboratories-agency
wlrs-wildlife-licensing-and-registration-service-bird-registration,animal-health-and-veterinary-laboratories-agency
tse-transmissible-spongiform-encephalopathies-daybook,animal-health-and-veterinary-laboratories-agency
vetnet,animal-health-and-veterinary-laboratories-agency
pap-processed-animal-proteins,animal-health-and-veterinary-laboratories-agency
integra,animal-health-and-veterinary-laboratories-agency
welfare-in-transport,animal-health-and-veterinary-laboratories-agency
supportworks,animal-health-and-veterinary-laboratories-agency
sips-staff-in-post-system,animal-health-and-veterinary-laboratories-agency
operations-manual,animal-health-and-veterinary-laboratories-agency
pet-travel-scheme-pets-system-garfield,animal-health-and-veterinary-laboratories-agency
health-surveillance-database,animal-health-and-veterinary-laboratories-agency
irms-import-risk-management-system,animal-health-and-veterinary-laboratories-agency
scrapie-genotyping-database,animal-health-and-veterinary-laboratories-agency
cross-compliance-single-payment-scheme-database-spsd,animal-health-and-veterinary-laboratories-agency
arcadia-lite,animal-health-and-veterinary-laboratories-agency
wlrs-wildlife-licensing-and-registration-service-a60-database-cites-convention-on-international,animal-health-and-veterinary-laboratories-agency
disinfectants-database,animal-health-and-veterinary-laboratories-agency
home-office-licensing,animal-health-and-veterinary-laboratories-agency
quarantine-database,animal-health-and-veterinary-laboratories-agency
interim-work-recording,animal-health-and-veterinary-laboratories-agency
house-on-the-hill,animal-health-and-veterinary-laboratories-agency
ripley-farm-database,animal-health-and-veterinary-laboratories-agency
appointed-inspectors-and-identification-id-card-database,animal-health-and-veterinary-laboratories-agency
escherichia-coli-sensitivity-testing-database,animal-health-and-veterinary-laboratories-agency
tse-transmissible-spongiform-encephalopathies-mouse-bioassay,animal-health-and-veterinary-laboratories-agency
animal-housing-system,animal-health-and-veterinary-laboratories-agency
accident-database_1,animal-health-and-veterinary-laboratories-agency
act,animal-health-and-veterinary-laboratories-agency
milk-registration,animal-health-and-veterinary-laboratories-agency
unicorn-computer-system,animal-health-and-veterinary-laboratories-agency
d2r2,animal-health-and-veterinary-laboratories-agency
liberty-library-management-system,animal-health-and-veterinary-laboratories-agency
vmvms,animal-health-and-veterinary-laboratories-agency
centaur,animal-health-and-veterinary-laboratories-agency
sam_1,animal-health-and-veterinary-laboratories-agency
zoo-licensing-database,animal-health-and-veterinary-laboratories-agency
web-based-offspring-cohort-cull-system-webocc,animal-health-and-veterinary-laboratories-agency
laboratory-information-management-system-lims,animal-health-and-veterinary-laboratories-agency
srabpi,animal-health-and-veterinary-laboratories-agency
egg-marketing-inspectorate--database,animal-health-and-veterinary-laboratories-agency
salmonella-national-control-plan,animal-health-and-veterinary-laboratories-agency
master-schedule-archive-database,animal-health-and-veterinary-laboratories-agency
tse-transmissible-spongiform-encephalopathies-database,animal-health-and-veterinary-laboratories-agency
health-management-on-line-portal,animal-health-and-veterinary-laboratories-agency
procedural-document-management-system,animal-health-and-veterinary-laboratories-agency
gb-poultry-register,animal-health-and-veterinary-laboratories-agency
tb-tuberculosis-lay-testers,animal-health-and-veterinary-laboratories-agency
financial-transactions-data-appointments-commission,appointments-commission
organogram-31-march-2011,appointments-commission
staff-organograms-and-pay-appointments-commission,appointments-commission
organogram-appointments-commission-sept11,appointments-commission
expenditure-over-500-architects-registration-board-uk,architects-registration-board
register-of-architects,architects-registration-board
arb-uk-organisation-chart,architects-registration-board
organisation-chart-architects-registration-board-uk,architects-registration-board
organogram,architects-registration-board
architects-register-search-find-an-architect,architects-registration-board
spend-over-500,architects-registration-board
ahrc-financial-transactions-over-25k,arts-and-humanities-research-council
staff-organograms-and-pay-arts-and-humanities-research-council,arts-and-humanities-research-council
ahrc-senior-and-junior-staff-data-and-organogram-as-at-31st-march-2011,arts-and-humanities-research-council
financial-transactions-transparency-data,arts-and-humanities-research-council
senior-staff-posts-as-of-30-september-2013,arts-and-humanities-research-council
gpc-spend-over-500,arts-and-humanities-research-council
junior-staff-numbers-and-pay-scales-as-of-september-2013,arts-and-humanities-research-council
catalyst-endowment-adwards,arts-council-england
arts-council-england-staff-data,arts-council-england
music-education-hub-data-return,arts-council-england
arts-council-england-junior-and-senior-staff-data-set,arts-council-england
expenditure-data-for-arts-council-england,arts-council-england
organogram-for-arts-council-england-2013,arts-council-england
arts-council-england-junior-staff-data-set,arts-council-england
arts-council-national-portfolio-organisations-awards,arts-council-england
arts-council-england-senior-staff-data-set-march-2011,arts-council-england
executive-board-expenses-for-arts-council-england,arts-council-england
creative-people-and-places-awards,arts-council-england
music-education-hubs,arts-council-england
staff-organograms-and-pay-arts-council-england,arts-council-england
national-council-expenses,arts-council-england
grants-for-the-arts-awards-arts-council-england,arts-council-england
catalyst-capacity-building-and-match-funding-scheme-awards,arts-council-england
unsuccessful-applicant-data-for-all-arts-council-funding-streams,arts-council-england
organogram-for-arts-council-england,arts-council-england
individual-music-education-hubs,arts-council-england
arts-council-england-staff-data-set,arts-council-england
national-portfolio-organisations-annual-submission,arts-council-england
ashfield-polling-station,ashfield-district-council
ashfield-district-allotments,ashfield-district-council
ashfield-district-contaminated-land,ashfield-district-council
ashfield-district-article-4,ashfield-district-council
ashfield-district-council-tree-preservation-orders,ashfield-district-council
ashfield-district-smoke-control-areas,ashfield-district-council
ashfield-district-council-green-space-sites,ashfield-district-council
ashfield-district-council-cemeteries,ashfield-district-council
ashfield-district-council-district-shopping-centres-adopted-local-plan-review-2002,ashfield-district-council
ashfield-district-council-countryside-adopted-local-plan-review-2002,ashfield-district-council
ashfield-district-council-countryside-adopted-local-plan-review-20021,ashfield-district-council
ashfield-district-council-main-urban-areas-adopted-local-plan-review-2002,ashfield-district-council
ashfield-district-council-cemeteries1,ashfield-district-council
ashfield-district-contaminated-land1,ashfield-district-council
ashfield-district-council-district-shopping-centres-adopted-local-plan-review-20021,ashfield-district-council
ashfield-district-council-green-space-sites1,ashfield-district-council
ashfield-district-council-tree-preservation-orders1,ashfield-district-council
ashfield-district-council-main-urban-areas-adopted-local-plan-review-20021,ashfield-district-council
financial-transactions-data-ashford-and-st-peters-hospitals-nhs-trust,ashford-and-st-peters-hospitals-nhs-trust
financial-transaction-ashton-leigh-wigan-communityhealthcare,ashton-leigh-and-wigan-community-healthcare-nhs-trust
ministerial-meetings-with-outside-interest-groups,attorney-generals-office
staff-organograms-and-pay-attorney-generals-office,attorney-generals-office
audit-commission-expenses-october-2013,audit-commission
uk-audit-commission-expenses-data-january-2011,audit-commission
uk-audit-commission-spend-data-december-2010,audit-commission
uk-audit-commission-expenses-data-february-2011,audit-commission
uk-audit-commission-expenses-data-december-2010,audit-commission
uk-audit-commission-spend-data-january-2011,audit-commission
auditcommission-spend-data-october-2013,audit-commission
uk-audit-commission-spend-data-march-2011,audit-commission
ac-organogram-at-30-sept-11,audit-commission
uk-audit-commission-expenses-data-may-2011,audit-commission
uk-audit-commission-spend-data-february-2011,audit-commission
audit-commission-staff-organograms-and-pay,audit-commission
staff-organograms-and-pay-audit-commission,audit-commission
uk-audit-commission-spend-data-may-2011,audit-commission
uk-audit-commission-spend-data-april-2011,audit-commission
uk-audit-commission-expenses-data-april-2011,audit-commission
uk-audit-commission-expenses-data-march-2011,audit-commission
expenses-data-audit-commission,audit-commission
financial-transactions-data-audit-commission,audit-commission
over-25k-expenditure-for-avon-and-wiltshire-mental-health-partnership-nhs-trust-may-2014,avon-and-wiltshire-mental-health-partnership-nhs-trust
awp-mental-health-partnership-nhs-trust-over-25k-expenditure-april-2014,avon-and-wiltshire-mental-health-partnership-nhs-trust
spend-over-25k-by-awp-nov-2013,avon-and-wiltshire-mental-health-partnership-nhs-trust
avon-wiltshire-nhs-trust-over-25k-expenditure-august-2014,avon-and-wiltshire-mental-health-partnership-nhs-trust
over-25-000-expenditure-awp-nhs-trust-march-2014,avon-and-wiltshire-mental-health-partnership-nhs-trust
spend-over-25k-august-13-awp-nhs-trust,avon-and-wiltshire-mental-health-partnership-nhs-trust
over-25k-september-2013,avon-and-wiltshire-mental-health-partnership-nhs-trust
over-25k-expenditure-awp-jan-14,avon-and-wiltshire-mental-health-partnership-nhs-trust
over-25-000-expenditure-for-feb-2014-by-avon-wiltshire-mental-health-partnership-nhs-trust,avon-and-wiltshire-mental-health-partnership-nhs-trust
over-25k-expenditure-july-2014,avon-and-wiltshire-mental-health-partnership-nhs-trust
expenditure-over-25k-july-2013,avon-and-wiltshire-mental-health-partnership-nhs-trust
over-25k-expenditure-dec-2013,avon-and-wiltshire-mental-health-partnership-nhs-trust
spend-over-25k-oct12,avon-and-wiltshire-mental-health-partnership-nhs-trust
expenditure_over_25k_sept_12,avon-and-wiltshire-mental-health-partnership-nhs-trust
expenditure-over-25000-avon-and-wiltshire,avon-and-wiltshire-mental-health-partnership-nhs-trust
over-25k-expenditure-oct-13,avon-and-wiltshire-mental-health-partnership-nhs-trust
over-25k-expenditure-june-2014,avon-and-wiltshire-mental-health-partnership-nhs-trust
parking-zones3,aylesbury-vale-district-council
veteran-trees1,aylesbury-vale-district-council
open-spces,aylesbury-vale-district-council
tree-preservation-orders11,aylesbury-vale-district-council
section-106-agreements3,aylesbury-vale-district-council
compulsory-purcahse-orders,aylesbury-vale-district-council
section-106-agreements6,aylesbury-vale-district-council
article-4-directioms,aylesbury-vale-district-council
open-spaces5,aylesbury-vale-district-council
veteran-trees,aylesbury-vale-district-council
rural-exception-sites,aylesbury-vale-district-council
village-greens2,aylesbury-vale-district-council
private-water-sampling,aylesbury-vale-district-council
smoke-control-zones,aylesbury-vale-district-council
allotments2,aylesbury-vale-district-council
local-authority-spending-over-500-babergh,babergh-district-council
bhr_25k_apr-11,barking-havering-and-redbridge-university-hospitals-nhs-trust
bhr-exp-above-25k-august-12,barking-havering-and-redbridge-university-hospitals-nhs-trust
bhr_25k_mar-11,barking-havering-and-redbridge-university-hospitals-nhs-trust
barking-havering-and-redbridge-university-hospitals-nhstrust-expenditure-over-25k,barking-havering-and-redbridge-university-hospitals-nhs-trust
bhr_25k_apr-12,barking-havering-and-redbridge-university-hospitals-nhs-trust
barking-havering-and-redbridge-university-hospitals-nhs-trust,barking-havering-and-redbridge-university-hospitals-nhs-trust
bhr_25k_jul-11,barking-havering-and-redbridge-university-hospitals-nhs-trust
expenditure-over-25-000-august-2013,barking-havering-and-redbridge-university-hospitals-nhs-trust
bhr_25k_may-11,barking-havering-and-redbridge-university-hospitals-nhs-trust
barking-havering-redbridge-university-hospital-nhs-trust-expenditure-over-25k-july-13,barking-havering-and-redbridge-university-hospitals-nhs-trust
bhr_25k_dec-11,barking-havering-and-redbridge-university-hospitals-nhs-trust
barking-havering-and-redbridge-university-nhs-trusts,barking-havering-and-redbridge-university-hospitals-nhs-trust
barking-havering-and-redbridge-university-hospitals-nhs-tru,barking-havering-and-redbridge-university-hospitals-nhs-trust
barking-havering-redbridge-university-hospitals-nhs-trust,barking-havering-and-redbridge-university-hospitals-nhs-trust
barking-havering-and-redbridge-university-hospitals-nhs-tr,barking-havering-and-redbridge-university-hospitals-nhs-trust
bhr-exp-above-25k-jun-12,barking-havering-and-redbridge-university-hospitals-nhs-trust
barking-havering-and-redbridge-university-hospitals-nhs-t,barking-havering-and-redbridge-university-hospitals-nhs-trust
bhr-exp-above-25k-september-12,barking-havering-and-redbridge-university-hospitals-nhs-trust
barking-havering-and-redbridge-university-hospitals-nhs,barking-havering-and-redbridge-university-hospitals-nhs-trust
bhr-exp-above-25k-july-12,barking-havering-and-redbridge-university-hospitals-nhs-trust
barking-havering-and-redbridge-university-hospitalsnhs,barking-havering-and-redbridge-university-hospitals-nhs-trust
bhr-exp-above-25k-december-12,barking-havering-and-redbridge-university-hospitals-nhs-trust
barking-havering-and-redbridge-university-hospitals-nhs-trus,barking-havering-and-redbridge-university-hospitals-nhs-trust
barking-havering-and-redbridge-university-nhs-trusts-expenditure-over-25k-report-january-2013,barking-havering-and-redbridge-university-hospitals-nhs-trust
bhr_25k_oct-11,barking-havering-and-redbridge-university-hospitals-nhs-trust
bhr-exp-above-25k-october-12,barking-havering-and-redbridge-university-hospitals-nhs-trust
bhr_25k_sep-11,barking-havering-and-redbridge-university-hospitals-nhs-trust
barking-havering-redbridge-hospitals-nhs-trust,barking-havering-and-redbridge-university-hospitals-nhs-trust
bhr_25k_aug-11,barking-havering-and-redbridge-university-hospitals-nhs-trust
barking-havering-and-redbridge-university-hospitals-nhs-trusts,barking-havering-and-redbridge-university-hospitals-nhs-trust
bhr_25k_mar-12,barking-havering-and-redbridge-university-hospitals-nhs-trust
bhr-exp-above-25k-november-12,barking-havering-and-redbridge-university-hospitals-nhs-trust
barking-havering-and-redbridge-university-hospitals,barking-havering-and-redbridge-university-hospitals-nhs-trust
barking-havering-and-redbridge-university-hospitals-nhs-trusts-expenditure-over-25k-report-nov-2013,barking-havering-and-redbridge-university-hospitals-nhs-trust
bhr_25k_feb-12,barking-havering-and-redbridge-university-hospitals-nhs-trust
barking-havering-and-redbridge-hospitals-university-nhs-trusts-expenditure-over-25k-report-may-2013,barking-havering-and-redbridge-university-hospitals-nhs-trust
bhr_25k_may-12,barking-havering-and-redbridge-university-hospitals-nhs-trust
bhr_25k_nov-11,barking-havering-and-redbridge-university-hospitals-nhs-trust
bhr_25k_jan-12,barking-havering-and-redbridge-university-hospitals-nhs-trust
bhr_25k_jun-11,barking-havering-and-redbridge-university-hospitals-nhs-trust
uk-financial-transactions-data-barnet-primary-care-trust,barnet-primary-care-trust
nhs-spend-over-25k-barnsleypct,barnsley-primary-care-trust
barnsley,barnsley-primary-care-trust
barnsley_primary_care_trust_invoices_over_25k,barnsley-primary-care-trust
saved-local-plan-policy-b1-housing-sites,barrow-borough-council
barrow-port-area-action-plan-policy-bp21-salthouse-housing,barrow-borough-council
recycling-centres,barrow-borough-council
barrow-port-area-action-plan-policy-bp23-waterfront-business-park,barrow-borough-council
chemists,barrow-borough-council
barrow-port-area-action-plan-policy-bp11-improving-connectivity,barrow-borough-council
planning-decisions-within-last-3-months,barrow-borough-council
recycling-collection-days,barrow-borough-council
saved-local-plan-policy-c8-dalton-town-centre,barrow-borough-council
new-liabilities-nndr,barrow-borough-council
advert-control-areas,barrow-borough-council
listed-buildings-de-listed,barrow-borough-council
saved-local-plan-policy-e1-lots-road-widening,barrow-borough-council
barrow-borough-council-inspire-ogc-wms-service,barrow-borough-council
saved-local-plan-policy-d2-county-landscapes,barrow-borough-council
nndr-account-no-mandatory-relief,barrow-borough-council
barrow-port-area-action-plan-boundary,barrow-borough-council
saved-local-plan-policy-d3-local-landscapes,barrow-borough-council
barrow-port-area-action-plan-policy-bpsv2-spatial-strategy-for-port-area-action-plan,barrow-borough-council
saved-local-plan-policy-c7-mixed-areas-around-barrow-town-centre,barrow-borough-council
the-strategic-housing-land-availability-assessment-2013,barrow-borough-council
nndr-rating-list-with-empty-indicator,barrow-borough-council
barrow-port-area-action-plan-policy-bp8-economic-viability-of-port-operations,barrow-borough-council
