Dataset Title,Dataset Name,Views,Visits,Resource downloads,Period Name
Anonymised MOT tests and results,anonymised_mot_test,8183,3450,4170,all
Defence Infrastructure Organisation Disposals Database House of Commons Report,defence-infrastructure-organisation-disposals-database-house-of-commons-report,8095,5724,1630,all
GP practice prescribing data - Chemical level,gp-practice-prescribing-data,7884,3049,2404,all
Land use statistics (Generalised Land Use Database),land_use_statistics_generalised_land_use_database,7690,4630,1821,all
Ratio of median house price to median earnings,ratio-of-median-house-price-to-median-earnings,7528,5382,2190,all
Organogram and staff pay data for HM Treasury Group,staff-organograms-and-pay-hm-treasury-group,7476,2965,3620,all
Population density,population_density,7332,3389,2050,all
Free School Meals (FSM),free_school_meals_fsm,7260,4254,0,all
Accident and Emergency Attendances in England (Experimental Statistics),accident_and_emergency_attendances_in_england_experimental_statistics,7221,3825,3242,all
Street level crime,england-national-crime-mapping,7071,2463,1662,all
LIDAR Digital Surface Model,lidar-digital-surface-model,7053,3582,731,all
Farm Rents,farm_rents,6951,4706,1799,all
Index of Multiple Deprivation (IMD) 2007,index_of_multiple_deprivation_imd_2007,6936,4212,0,all
NEET Statistics,neet_statistics,6900,4449,2222,all
Government construction pipeline,government-construction-pipeline,6882,4553,3831,all
ERIC  - Estates Return Information Collection,eric-annual-returns,6624,4159,3062,all
Highways Agency network journey time and traffic flow data,dft-eng-srn-routes-journey-times,6388,3233,4183,all
Price Adjustment Formulae for Construction Contracts,price_adjustment_formulae_for_construction_contracts,6324,3524,22,all
IPS Regional Passport Office address information,identity-and-passport-service-regional-passport-offices,6281,4600,423,all
Crime Statistics,crime_statistics,6229,609,2421,all
Organogram and staff pay data for Foreign and Commonwealth Office staff,staff-organograms-and-pay-foreign-and-commonwealth-office,6032,2561,2415,all
Annual Business Inquiry,annual_business_inquiry,5775,3084,1737,all
Hospital Episode Statistics: Emergency readmissions to hospital within 28 days of discharge,emergency_readmissions_to_hospital_within_28_days_of_discharge,5746,3380,2284,all
"Statistics on Smoking - England, 2012",statistics-on-smoking-england-2012,5582,2416,2487,all
Tidal Predictions,uk-tide-times-heights,5535,3055,784,all
3 hourly weather forecast and observational data - UK locations,metoffice_uklocs3hr_fc,5441,1371,0,all
Car Parks,car-parks,5436,1989,1643,all
HM Land Registry INSPIRE Index Polygons,hm-land-registry-inspire-index-polygons,5415,770,0,all
Listed Buildings in Wales GIS Point Dataset,listed-buildings-in-wales-gis-point-dataset,5408,2503,228,all
UK Central Government Procurement Spend,public-sector-procurement-spend,5308,3223,1462,all
Conservation Areas,conservation-areas,5278,2483,654,all
Historical monthly data for meteorological stations,historic-monthly-meteorological-station-data,5179,1879,1416,all
Code-Point® Open ,os-code-point-open,5061,2962,0,all
Statutory List of Buildings of Special Architectural or Historic Interest,statutory-list-of-buildings-of-special-architectural-or-historic-interest,5047,2964,0,all
Annual Survey of Hours and Earnings,annual_survey_of_hours_and_earnings,5003,2832,2041,all
"NHS England, NHS Choices, Hospitals, Patient Comments and Ratings",england-nhs-nhschoices-organisations-hospitals-patient-comments,4994,3343,1195,all
"Regional climate values of Rainfall, ordered by year",regional-climate-values-for-rainfall,4979,2423,1565,all
General Lifestyle Survey,general_lifestyle_survey,4963,3437,1096,all
Family Spending,family_spending,4865,2548,2224,all
Land Registry Dataset Inventory,land-registry-dataset-inventory,4819,2391,1239,all
Water Framework Directive – Surface Water Classification Status and Objectives,wfd-surface-water-classification-status-and-objectives,4742,2684,2539,all
Court Martial Results from the Military Court Centres,court_martial_results_military_courts,4734,2754,767,all
Producer Price Index,producer_price_index,4722,2728,1469,all
Education and Training Success Rates in England 2011/12,education-and-training-success-rates-in-england-2011-12,4670,1829,2081,all
Organogram and staff pay data for Department for Work and Pensions,staff-organograms-and-pay-department-for-work-and-pensions,4649,2550,1970,all
Flood Map - Flood Zone 2 (WMS),flood-map-flood-zone-2-wms,4579,2346,303,all
Stroke Statistics update,stroke_statistics_update,4518,2850,1305,all
Trade Union Membership,trade_union_membership,4517,3314,1422,all
Organogram and staff pay data for the Information Commissioner's Office,staff-organograms-and-pay-ico,4506,2480,1277,all
Statistics on football banning orders,football-banning-orders,4464,2002,1402,all
Network Rail - railway network Inspire data,railway-network-inspire,4363,1080,942,all
Average Weekly Earnings,average_weekly_earnings,4337,2116,903,all
Special Advisers working in the UK Government,special-advisers,4314,2658,1038,all
Hospital Episode Statistics (HES): Average length of stay - for PCTs,hospital_episode_statistics_hes_-_average_length_of_stay_-_for_pcts,4309,2771,0,all
Sunrise and Sunset times,uk-sunrise-sunset,4185,2967,0,all
Adult Dental Health Survey,adult_dental_health_survey,4184,2659,517,all
Reported Road Casualties Great Britain Annual Report,reported_road_casualties_great_britain_annual_report,4171,2711,818,all
National Charge Point Registry,national-charge-point-registry,4170,2027,1436,all
Weekly Fuel Prices,weekly_fuel_prices,4163,1859,1022,all
High Speed 2 (HS2) proposed route line,hs2-gis-route,4099,1587,926,all
Index of Labour Costs per Hour (experimental),index_of_labour_costs_per_hour_experimental,4040,2829,824,all
World Mineral Statistics Dataset.,world-mineral-statistics-dataset,4015,2412,609,all
Organogram and staff pay data for the Highways Agency,organogram-ha,3968,2057,1140,all
AddressBase™,addressbase,3952,116,484,all
NHS Dental Statistics for England,nhs_dental_statistics_for_england,3898,2389,1015,all
UK Armed Forces Quarterly Manpower Statistics,uk_armed_forces_quarterly_manpower_statistics,3892,2439,1018,all
Hospital admissions: Summary statistics,hospital_admissions_-_summary_statistics,3888,2423,961,all
Detailed River Network (WMS),detailed-river-network-wms,3837,1972,351,all
Retail Sales,retail_sales,3832,1587,1725,all
Insolvency Statistics,insolvency_statistics,3780,2220,1342,all
Regional Trends,regional_trends,3776,2088,932,all
Organogram and staff pay data for the Cabinet Office,staff-organograms-and-pay-cabinet-office,3772,1280,1668,all
Housing stock,uk-housing-stock,3766,1927,1372,all
Scheduled Ancient Monuments in Wales GIS Polygon Dataset,scheduled-ancient-monuments-in-wales-gis-polygon-dataset,3761,1811,438,all
A Generational Accounts Approach to Long Term Public Finance in the UK,a_generational_accounts_approach_to_long_term_public_finance_in_the_uk,3684,106,0,all
UK Overseas Trade Statistics,uk_overseas_trade_statistics,3665,2139,1284,all
Religion (2001 Census),religion_2001_census,3595,2265,816,all
UK Public Libraries contacts,uk-public-library-contacts-14032012,3552,1782,1087,all
Organogram and staff pay data for Ministry of Defence 2012,staff-organograms-and-pay-mod,3476,1715,1029,all
"Baby Names, England and Wales",baby_names_england_and_wales,3440,1642,1170,all
Recorded Crime in Scotland,recorded_crime_in_scotland,3439,2270,0,all
BGS Detailed Bedrock and Superficial geology (OGC WxS),bgs-detailed-bedrock-and-superficial-geology-ogc-wxs,3436,295,74,all
Land Registry Monthly Property Transaction Data,monthly-land-registry-property-transaction-data,3373,1161,1396,all
Water Well Archive,water-well-archive,3351,1474,0,all
Norfolk Public Rights of Way,norfolk-public-rights-of-way,3347,1643,990,all
United Kingdom Balance of Payments,united_kingdom_balance_of_payments,3328,1823,1260,all
Bridge Height Restrictions,warwickshire-bridge-height-restrictions,3220,2300,362,all
Income Deprivation Affecting Children Index 2007,income-deprivation-affecting-children-index,3159,2001,0,all
Historic Landfill,historic-landfill,3118,1729,0,all
Economic and Labour Market Review,economic_and_labour_market_review,3115,2049,508,all
Organogram and staff pay data for Ministry of Justice,staff-organograms-and-pay-ministry-of-justice,3114,1596,750,all
National Public Transport Gazetteer (NPTG),nptg,3101,874,711,all
WasteDataFlow - Local Authority waste management,waste-data-flow,3089,1748,1925,all
Foreign Direct Investment,foreign_direct_investment,3059,1755,906,all
NHS Reference Costs 2010-11,nhs-reference-costs-2010-11,3042,1081,1900,all
Coronary Heart Disease Statistics update,coronary_heart_disease_statistics_update,3034,1895,990,all
CRC Performance League Table 2010/2011 ,crc-performance-league-table,2982,1723,747,all
DVLA Vehicles Database,dvla-vehicles-database,2935,1217,0,all
Basic Company Data,basic-company-data,2922,579,1634,all
Flood Map - Flood Zone 2,flood-map-flood-zone-21,2877,759,0,all
"Statistics on Alcohol, England",statistics_on_alcohol_england,2860,1363,1132,all
Survey of public attitudes and behaviours towards the environment,survey_of_public_attitudes_and_behaviours_towards_the_environment,2827,1765,0,all
Census 2001 National Report for England and Wales,census_2001_national_report_for_england_and_wales,2822,1847,609,all
Code-Point® with polygons,code-point-with-polygons,2819,835,828,all
Housing Strategy Statistical Appendix (HSSA),england-hssa-housing-strategy-statistical-appendix,2779,1857,505,all
"Statistics on Obesity, Physical Activity and Diet: England, 2011",statistics-on-obesity-physical-activity-and-diet-england-2011,2760,968,1159,all
Organogram and staff pay data for Department for Education,staff-organograms-and-pay-department-for-education,2758,1359,1058,all
Travel to work flows,travel_to_work_flows,2744,1561,917,all
Police Force Boundaries - England and Wales,police-force-boundaries-england-and-wales,2720,1609,1237,all
Population Trends,population_trends,2707,602,779,all
Scores on the Doors,scores-on-the-doors,2680,54,0,all
English House condition Survey,english_house_condition_survey,2650,1624,381,all
Funding Year Values,funding-year-values,2647,1463,1887,all
Place Survey,place_survey,2645,1420,0,all
Car theft index,car-theft-index-2004-2006,2623,1177,456,all
Organogram and staff pay data for The Scottish Government,staff-organograms-and-pay-scottish-government,2604,1273,953,all
Diabetes prevalence,diabetes_prevalence,2561,1415,0,all
The single data list for central government departments,single-data-list-for-central-government-departments,2556,1175,1015,all
Aerospace and Electronic Cost Indices,aerospace_and_electronic_cost_indices,2552,1139,1133,all
UK Defence Statistics,uk_defence_statistics,2525,1269,352,all
Mental health: Prevalence of common mental health problems,mental_health_-_prevalence_of_common_mental_health_problems,2503,1053,0,all
Parliamentary Constituency Population Estimates (experimental),parliamentary_constituency_population_estimates_experimental,2426,1723,739,all
OS MasterMap® Topography Layer,os-mastermap-topography-layer,2424,1294,77,all
Spend over £500 in Department for Transport and its arms’ length bodies,financial-transactions-data-dft,2414,1175,2059,all
National Register of Road Haulage and Road Passenger Transport Operators,public_data_csc,2410,1161,1107,all
Social services Performance Assessment Framework (PAF) indicators,social_services_performance_assessment_framework_paf_indicators,2400,1532,553,all
Traveline National Dataset (public transport timetables),traveline-national-dataset,2398,553,737,all
The United Kingdom fishing Vessel List,the-united-kingdom-fishing-vessel-list-,2394,1356,520,all
"GCSE and Equivalent Results, England",gcse_and_equivalent_results_england,2392,1104,930,all
Consumer Price Indices,consumer_price_indices,2391,796,885,all
National Street Gazetteer,national-street-gazetteer,2385,888,283,all
2011 Census,2011_census_,2374,158,1075,all
Trends in consultation rates in General Practice,trends_in_consultation_rates_in_general_practice,2365,1608,0,all
Internet Access,internet_access,2362,138,897,all
The Official Yearbook of the United Kingdom,the_official_yearbook_of_the_united_kingdom,2346,1209,771,all
Private Finance Initiative (PFI) Data,private-finance-initiative-pfi-data,2311,1071,1122,all
Business Demography,business_demography,2302,1112,696,all
Local police recorded crime data,local-police-recorded-crime-data,2298,566,874,all
House Building Statistics,house_building_statistics,2290,1263,63,all
Asthma: Mortality rate,asthma_-_mortality_rate,2278,1330,496,all
Statistics on Women and the Criminal Justice System,statistics_on_women_and_the_criminal_justice_system,2270,1790,319,all
Road accident data,road_accident_data,2263,230,497,all
Motor Insurance Anti Fraud and Theft Register (MIAFTR),motor-insurance-anti-fraud-and-theft-register-miaftr,2255,1634,0,all
Provisional Agricultural Land Classification,provisional-agricultural-land-classification,2241,1329,37,all
Pupil attainment at Key Stage 1: Average Points Score,pupil_attainment_at_key_stage_1_-_average_points_score,2239,1572,346,all
Water Framework Directive - River Waterbody Catchments (WMS),water-framework-directive-river-waterbody-catchments-wms,2235,1114,351,all
Defra Business Plan Quarterly Data Summary,defra-business-plan-quarterly-data-summary,2224,1139,878,all
Average class sizes,average_class_sizes,2220,1061,461,all
LPS OSNI POINTER (Download),lps-osni-pointer-download,2195,797,108,all
National Travel Survey,national_travel_survey,2187,1367,585,all
"Statistics on Alcohol: England, 2011, 2012 [NS]",statistics-on-alcohol-england-2011-2012-ns,2179,966,882,all
"Population Estimates for UK, England and Wales, Scotland and Northern Ireland",population_estimates_for_uk_england_and_wales_scotland_and_northern_ireland,2179,1098,607,all
Electoral Statistics for UK,electoral_statistics_for_uk,2163,1294,637,all
Labour Force Survey Employment status by occupation,labour_force_survey_employment_status_by_occupation,2159,1304,775,all
Consolidated List of Financial Sanctions Targets,financialsanctions,2155,1411,685,all
Organogram and staff pay data for Animal Health and Veterinary Laboratories Agency,staff-organograms-and-pay-ahvla,2141,988,214,all
Senior Civil Service officers working in the Cabinet Office,senior-civil-service-officers-in-cabinet-office,2132,1079,608,all
Jobseekers Allowance  (JSA) claimants by ethnicity,jobseekers_allowance_jsa_claimants_by_ethnicity,2130,1404,611,all
Organogram and staff pay data for HMRC,staff-organograms-and-pay-hmrc,2128,1058,885,all
National Curriculum Assessments at Key Stage 1 in England,national_curriculum_assessments_at_key_stage_1_in_england,2124,1399,755,all
Monthly Energy Statistics,monthly_energy_statistics,2117,980,687,all
"Anti-social behaviour order statistics, England and Wales",anti-social_behaviour_order_statistics_england_and_wales,2112,857,147,all
"NHS Maternity Statistics, England",nhs_maternity_statistics_england,2108,1222,1082,all
Organogram and staff pay data for Treasury Solicitor's Department,staff-organograms-and-pay-treasury-solicitors-department,2100,887,778,all
Home Office counting rules for recorded crime,recorded-crime-counting-rules,2086,1219,661,all
Jobseekers Allowance (JSA): Sanction & disallowance decision statistics,jobseekers_allowance_jsa_-_sanction_disallowance_decision_statistics,2066,1640,44,all
Balance of Payments,balance_of_payments,2065,1159,685,all
Distance travelled to work,distance_travelled_to_work,2060,1242,565,all
Organogram and staff pay data for Serious Organised Crime Agency,staff-organograms-and-pay-soca,2050,1148,649,all
English Housing Survey,english_housing_survey,2015,1249,507,all
Learning Aim Reference Application,learning-aim-reference-application,1994,211,538,all
Schools in East Sussex,east-sussex-county-council-schools,1992,1314,397,all
Teenage pregnancy: Under 18 conception rate and percentage leading to abortion,teenage_pregnancy_-_under_18_conception_rate_and_percentage_leading_to_abortion,1991,1403,0,all
"Spend over £25,000 in the Foreign and Commonwealth Office",financial-transactions-data-fco,1983,512,1320,all
Passport fees,passport-fees,1966,355,3915,all
Organogram and staff pay data for Ministry of Defence 2013,organogram-and-staff-pay-data-for-ministry-of-defence-2013,1965,1108,694,all
Ethnic group (2001 Census),ethnic_group_2001_census,1965,1182,602,all
"Adult Social Care Survey - England, 2011-12, Final",adult-social-care-survey-england-2011-12-final,1955,1069,1057,all
GP workforce and practice population statistics,gp_workforce_and_practice_population_statistics,1950,1181,445,all
Planning - National Land Use Database of Previously-developed Land,england-planning-national-land-use-database-of-previously-developed-land,1945,1086,484,all
Mergers and Acquisitions involving UK companies,mergers_and_acquisitions_involving_uk_companies,1934,902,793,all
"Transport Statistics, Great Britain",transport_statistics_great_britain,1932,894,588,all
iQuanta,iquanta,1932,1217,0,all
UK food hygiene rating data (London) - Food Standards Agency,uk-food-hygiene-rating-data,1920,481,658,all
British Household Panel Survey,british-household-panel-survey,1915,1379,433,all
British Social Attitudes Survey,british-social-attitudes-survey,1904,1223,330,all
Details of Independent Provider organisations in England from Organisation Data Service,england-nhs-connecting-for-health-organisation-data-service-data-files-of-independent-providers,1902,1236,572,all
"Ministry of Defence Finance Transparency – £25,000 and GPC - financial year 2010/2014",financial-transactions-data-mod,1901,642,1612,all
Company identifiers (URIs),company-identifiers-uris,1899,69,611,all
Cycle Routes,cycle-routes,1895,485,759,all
DECC live data on electricity and gas consumption,decc-live-energy-data,1883,1319,237,all
National Diet and Nutrition Survey,national_diet_and_nutrition_survey,1881,1187,587,all
Flood Map - Flood Zone 3 (WMS),flood-map-flood-zone-3-wms,1872,868,89,all
Local Alcohol Profile for England,alcohol_profile_-_alcohol-related_recorded_crimes,1863,945,486,all
Cumbrian lake water temperatures and meteorological data ,cumbrian-lake-water-temperatures-and-meteorological-data,1856,1192,254,all
Universities and Colleges Admissions Service (UCAS) Statistics,universities_and_colleges_admissions_service_ucas_statistics,1855,801,500,all
Pension Trends,pension_trends,1852,1053,618,all
Households on local authorities' housing waiting lists: Excluding households waiting for transfers,households_on_local_authorities_housing_waiting_lists_-_excluding_households_waiting_for_transfers,1849,1137,0,all
Control of immigration statistics United Kingdom,control-of-immigration-statistics,1815,1100,508,all
Housing market and house prices,uk-housing-market-and-housing-prices,1809,161,0,all
Child Well-being Index,overall-lsoa-child-well-being-index,1804,1163,0,all
Organogram and staff pay data for Department of Health,staff-organograms-and-pay-department-of-health,1800,847,670,all
Organogram and staff pay data for the Driver and Vehicle Licensing Agency,organogram-dvla,1789,953,448,all
Tregantle Firing Times,tregantle-firing-times,1787,1021,475,all
Pupil attainment by Free School Meal (FSM) eligibility: GCSE (KS4),pupil_attainment_by_free_school_meal_fsm_eligibility_-_gcse_ks4,1777,1123,505,all
"Statutory Homelessness Statistics, England",statutory_homelessness_statistics_england,1776,1178,133,all
Statistical neighbours benchmarking tool,statistical_neighbours_benchmarking_tool,1770,952,480,all
British Crime Survey datasets,bcs-open-data-sets,1768,342,622,all
Commercial and industrial floorspace and rateable value statistics,commercial_and_industrial_floorspace_and_rateable_value_statistics,1760,1047,563,all
Low birth weight live births,low_birth_weight_live_births,1738,1102,444,all
"Prescription Cost Analysis, England",prescription_cost_analysis_england,1733,1091,735,all
Middle Layer SOA (with names) - Geometric centroid - Population weighted centroid - local alternative names: Lookup Table,middle_layer_soa_with_names_-_geometric_centroid_-_population_weighted_centroid_-_local_alternative_,1727,1100,0,all
"Spend over £25,000 in the Department for Environment, Food and Rural Affairs",financial-transactions-data-defra,1721,510,1750,all
Monthly Statistics of Building Materials and Components,monthly_statistics_of_building_materials_and_components,1704,1090,654,all
Hospital Standardised Mortality Ratios,hospital_standardised_mortality_ratios,1694,1083,526,all
Jobseekers Allowance  (JSA) monthly claimant count,jobseekers_allowance_jsa_monthly_claimant_count,1674,1207,0,all
National Register of Social Housing (NROSH),national-register-of-social-housing-nrosh,1657,1026,1117,all
Pupil teacher ratios for maintained primary and secondary schools,pupil_teacher_ratios_for_maintained_primary_and_secondary_schools,1653,1052,322,all
Workforce Management Information - Defra,workforce-management-information-defra,1652,531,518,all
Apprenticeship Success Rates in England 2011/12,apprenticeship-success-rates-in-england-2011-2012,1652,571,746,all
Dwelling stock by council tax band,dwelling_stock_by_council_tax_band,1651,941,569,all
Index of Production,index_of_production,1642,840,602,all
Index of  Multiple Deprivation 2004,imd_2004,1622,859,409,all
Median house price,median_house_price,1613,948,610,all
Smoking in pregnancy,smoking_in_pregnancy,1607,1029,0,all
Boundary-Line™,os-boundary-line,1595,903,0,all
National Pupil Database,national-pupil-database,1594,828,89,all
Youth Cohort Study & Longitudinal Study of Young People in England,youth_cohort_study_longitudinal_study_of_young_people_in_england,1575,1003,473,all
Rural and urban area classifications,rural_and_urban_area_classifications,1575,726,378,all
Natural England INSPIRE WMS Service,natural-england-inspire-wms-service,1574,558,238,all
"Registered Social Landlord average weekly rents, England",registered_social_landlord_average_weekly_rents_england,1568,977,245,all
Method of travel to work - Daytime Population (2001 Census),method_of_travel_to_work_-_daytime_population_2001_census,1542,984,375,all
Coal Resources Map of Britain,coal-resources-map-of-britain,1539,658,290,all
Highways Agency - Roads network Inspire data,ha-road-network-inspire,1538,183,330,all
Organogram and staff pay data for Forestry Commission,staff-organograms-and-pay-forestry-commission,1530,818,357,all
Organogram and staff pay data for the Maritime and Coastguard Agency,organogram-mca,1530,670,396,all
"UK Business: Activity, Size and Location",uk_business-activity_size_and_location,1528,496,623,all
Drug misuse declared: findings from the British Crime Survey,drug-misuse-findings-from-british-crime-survey-2009-10,1523,867,653,all
NHS Health Boards,nhs-health-boards,1521,711,34,all
Personal consumer debt - County Court Judgements (CCJs),personal_consumer_debt_-_county_court_judgements_ccjs,1517,379,269,all
UK Sea Fisheries Statistics,uk_sea_fisheries_statistics,1515,1028,0,all
London-West Midlands Environmental Statement (November 2013),london-west-midlands-environmental-statement-november-2013,1511,583,1533,all
GP Practice Data - health and social care indicators,gp-practice-data,1505,312,504,all
Household earnings estimates: Model-based estimates of income for MSOAs,household_earnings_estimates_-_model-based_estimates_of_income_for_msoas,1504,972,334,all
Organogram and staff pay data for Valuation Office Agency,staff-organograms-and-pay-voa,1503,722,406,all
Natural England INSPIRE compliant metadata,natural-england-inspire-compliant-metadata-dec2010,1503,844,396,all
"Fire Statistics Monitor, UK",fire_statistics_monitor_uk,1501,762,199,all
"Spend over £25,000 in the Department of Health",financial-transactions-data-dh,1498,481,1349,all
Bristol City Council B-Open Wi Fi Hotspots,bristol-city-council-bopen-wi-fi,1491,850,411,all
National Curriculum Assessments at Key Stage 2 in England,national_curriculum_assessments_at_key_stage_2_in_england,1489,838,201,all
"Smoking, drinking and drug use among young people in England",smoking_drinking_and_drug_use_among_young_people_in_england,1485,874,470,all
Online System for Central Accounting and Reporting - OSCAR,oscar,1483,666,706,all
Regional climate values for the Mean Temperature,regional-climate-values-for-mean-temperature,1480,584,428,all
OS OpenData OS Street View®,os-opendata-os-street-view,1458,612,0,all
Community Safety Partnerships (CSPs),community-safety-partnerships-contacts,1457,1001,444,all
"Electoral Roll, Wales",electoral_roll_wales,1453,890,0,all
Pupil teacher ratios by school type,pupil_teacher_ratios_by_school_type,1452,839,395,all
Castlemartin Firing Programme,castlemartin_firing_programme_mod,1438,987,188,all
Big Bee project: restoration and management of bumblebee habitat in agricultural landscapes,big-bee-project-restoration-and-management-of-bumblebee-habitat-in-agricultural-landscapes,1434,377,57,all
Mines And Quarries Database - BritPits.,mines-and-quarries-database-britpits,1432,754,22,all
Social Housing Stock by Local Authority and Private Registered Provider,social-housing-stock-by-local-authority-and-private-registered-provider,1430,849,652,all
"Road Statistics: Traffic, Speeds and Congestion",road_statistics-traffic_speeds_and_congestion,1429,641,0,all
Vehicle Licensing Statistics,vehicle_licensing_statistics,1422,583,1029,all
Commercial and industrial property vacancy statistics,commercial_and_industrial_property_vacancy_statistics,1421,776,473,all
Count of Gypsy and Traveller Caravans,count_of_gypsy_and_traveller_caravans,1420,844,705,all
"Adult skills - literacy, numeracy technology and ESOL estimates",adult_skills_-_literacy_numeracy_technology_and_esol_estimates,1418,738,221,all
Attendance at primary and post-primary schools,attendance_at_primary_and_post-primary_schools,1417,988,153,all
Crime in England and Wales: Annual report,crime_in_england_and_wales-annual_report,1414,47,338,all
"Birth statistics, England and Wales (Series FM1)",birth_statistics_england_and_wales_series_fm1,1412,860,243,all
Organogram and staff pay data for Department for Communities and Local Government,staff-organograms-and-pay-department-for-communities-and-local-government,1411,786,429,all
Vehicle licence data,vehicle_licence_data,1402,333,0,all
"Schools, Pupils and their Characteristics",schools_pupils_and_their_characteristics,1385,270,582,all
OS Street View® ,os-street-view,1376,953,0,all
Workforce Management Information - Department for Transport,dft-workforce-management-information,1373,447,697,all
Home Office Information Asset Register,home-office-information-asset-register,1367,762,595,all
Disability Living Allowance (DLA),disability_living_allowance_dla,1367,813,674,all
Broadband coverage,broadband-coverage,1366,347,646,all
Digest of UK Energy Statistics,digest_of_uk_energy_statistics,1365,727,31,all
"Smoking, drinking and drug use among young people in England in 2011",smoking-drinking-and-drug-use-among-young-people-in-england-in-2011,1355,732,542,all
Employment of Foreign Workers,employment_of_foreign_workers,1354,778,308,all
Teenage pregnancy: Teenage conceptions - Under 18's: Local analysis,teenage_pregnancy_-_teenage_conceptions_-_under_18s_-_local_analysis,1346,715,280,all
Not in Education Employment or Training (NEET),not_in_education_employment_or_training_neet,1344,700,235,all
East Sussex Public Rights Of Way,eastsussexrightsofway,1343,892,837,all
Childhood obesity,childhood_obesity,1334,752,199,all
Health Inequalities,health_inequalities,1329,669,290,all
Meta-data for data.gov.uk datasets,data_gov_uk-datasets,1328,534,325,all
GP practice prescribing data - Presentation level,prescribing-by-gp-practice-presentation-level,1326,409,1060,all
OS MasterMap® Integrated Transport Network Layer™,os-mastermap-integrated-transport-network-layer1,1326,364,76,all
Latest 24 hours observational data - Marine,latest-marine-observational-data,1317,113,97,all
"Energy Performance of Buildings Register, England and Wales",average_energy_efficiency_sap_rating_of_new_homes_england_and_wales,1303,728,259,all
Overseas Travel and Tourism,overseas_travel_and_tourism,1296,439,447,all
