Publisher Title,Publisher Name,Views,Visits,Period Name
Homes and Communities Agency,homes-and-communities-agency,3952,2126,all
Land Registry,land-registry,3919,1101,all
Office of Rail Regulation,office-of-rail-regulation,3827,1362,all
Cambridgeshire County Council,cambridgeshire-county-council,3824,1234,all
Higher Education Statistics Agency,higher-education-statistics-agency,3715,1474,all
Criminal Records Bureau,criminal-records-bureau,3672,897,all
Collections Trust,collections-trust,3552,1782,all
The National Archives,the-national-archives,3521,798,all
British Waterways,british-waterways,3044,324,all
NHS Reference Costs,nhs-reference-costs,3042,1081,all
Vehicle and Operator Services Agency,vehicle-and-operator-services-agency,2935,1456,all
National Records of Scotland,national-records-of-scotland,2899,773,all
Care Quality Commission,care-quality-commission,2749,703,all
Office of Communications,office-of-communications,2706,640,all
University of Edinburgh,university-of-edinburgh,2675,1227,all
Valuation Office Agency,valuation-office-agency,2561,923,all
Lichfield District Council,lichfield-district-council,2520,350,all
"Office for Standards in Education, Children's Services and Skills",office-for-standards-in-education-childrens-services-and-skills,2486,614,all
Department of Agriculture and Rural Development,department-of-agriculture-and-rural-development,2407,1070,all
London Borough of Brent,london-borough-of-brent,2382,415,all
Harrogate Borough Council,harrogate-borough-council,2332,529,all
"Centre for Environment, Fisheries & Aquaculture Science",centre-for-environment-fisheries-aquaculture-science,2277,1149,all
DirectGov,directgov,2254,994,all
Rural Payments Agency,rural-payments-agency,2219,1031,all
Leeds City Council,leeds-city-council,2152,550,all
Serious Organised Crime Agency,serious-organised-crime-agency,2051,1149,all
Department of Education,department-of-education,2022,1355,all
Monmouthshire County Council,monmouthshire-county-council,2013,891,all
Keep Britain Tidy,keep-britain-tidy,1887,490,all
Derby City Council,derby-city-council,1882,664,all
North West Public Health Observatory,north-west-public-health-observatory,1865,946,all
Passenger Focus,passenger-focus,1854,911,all
Salford City Council,salford-city-council,1825,259,all
Runnymede Borough Council,runnymede-borough-council,1802,562,all
Land & Property Services,land-property-services,1786,569,all
Independent Police Complaints Commission,independent-police-complaints-commission,1771,546,all
Sport England,sport-england,1739,575,all
Department of Enterprise Trade and Investment,department-of-enterprise-trade-and-investment,1707,1040,all
Public Health England,public-health-england,1625,801,all
National Treatment Agency for Substance Misuse,national-treatment-agency-for-substance-misuse,1596,533,all
Office of Qualifications and Examinations Regulation,office-of-qualifications-and-examinations-regulation,1585,675,all
Commission for Architecture and the Built Environment,commission-for-architecture-and-the-built-environment,1582,774,all
North Lincolnshire Council,north-lincolnshire-council,1575,454,all
Sheffield City Council,sheffield-city-council,1534,242,all
Hampshire County Council,hampshire-county-council,1511,478,all
Westminster City Council,westminster-city-council,1506,198,all
Arts Council England,arts-council-england,1471,505,all
Copeland Borough Council,copeland-borough-council,1455,290,all
Cranfield University,cranfield-university,1452,563,all
North Hertfordshire District Council,north-hertfordshire-district-council,1439,720,all
Civil Aviation Authority,civil-aviation-authority,1432,222,all
Victoria & Albert Museum,victoria-albert-museum,1366,591,all
"Department of Culture, Arts and Leisure",department-of-culture-arts-and-leisure,1364,523,all
Wycombe District Council,wycombe-district-council,1356,206,all
BIG Lottery Fund,big-lottery-fund,1351,508,all
HM Inspectorate of Constabulary,hm-inspectorate-of-constabulary,1315,206,all
Defence Science and Technology Laboratory,defence-science-and-technology-laboratory,1312,610,all
The British Museum,the-british-museum,1280,440,all
UK Commission for Employment and Skills,uk-commission-for-employment-and-skills,1260,507,all
Higher Education Funding Council for England,higher-education-funding-council-for-england,1240,384,all
Tenant Services Authority,tenant-services-authority,1239,646,all
Companies House,companies-house,1205,333,all
Central Office of Information,central-office-of-information,1201,315,all
Halton Borough Council,halton-borough-council,1201,225,all
National Fraud Authority,national-fraud-authority,1193,600,all
Wychavon District Council,wychavon-district-council,1182,121,all
National Offender Management Service,national-offender-management-service,1177,485,all
Monitor,monitor,1175,353,all
The Disclosure and Barring Service,the-disclosure-and-barring-service,1166,426,all
Eastleigh Borough Council,eastleigh-borough-council,1165,243,all
North Norfolk District Council,north-norfolk-district-council,1163,292,all
Planning Inspectorate,planning-inspectorate,1153,479,all
Student Loans Company Limited,student-loans-company-limited,1142,278,all
Coal Authority,coal-authority,1142,510,all
Belfast City Council,belfast-city-council,1122,296,all
Department of the Environment,department-of-the-environment,1119,570,all
Teignbridge District Council,teignbridge-district-council,1117,276,all
City of London,city-of-london,1095,58,all
Department for Regional Development,department-for-regional-development,1089,613,all
The British Library,the-british-library,1075,457,all
Spikes Cavell Analytic Ltd,spikes-cavell-analytic-ltd,1067,692,all
Health Protection Agency,health-protection-agency,1062,367,all
The Food and Environment Research Agency,the-food-and-environment-research-agency,1055,535,all
Marine Environmental Data & Information Network,marine-environmental-data-information-network,1053,259,all
Olympic Delivery Authority,olympic-delivery-authority,1026,203,all
South Derbyshire District Council,south-derbyshire-district-council,991,137,all
Natural Environment Research Council,natural-environment-research-council,980,580,all
Department of Justice,department-of-justice,955,350,all
Natural History Museum,natural-history-museum,940,244,all
Serious Fraud Office,serious-fraud-office,935,282,all
Office of Gas and Electricity Markets,office-of-gas-and-electricity-markets,932,173,all
British Transport Police Authority,british-transport-police-authority,923,400,all
Joint Nature Conservation Committee,joint-nature-conservation-committee,918,294,all
Department of Finance and Personnel,department-of-finance-and-personnel,916,505,all
North York Moors National Park Authority,north-york-moors-national-park-authority,905,101,all
Devon Partnership NHS Trust,devon-partnership-nhs-trust,904,86,all
Gambling Commission,gambling-commission,896,197,all
London Borough of Sutton,london-borough-of-sutton,893,190,all
Allerdale Borough Council,allerdale-borough-council,891,215,all
Northern Ireland Office,northern-ireland-office,884,285,all
Animal Health and Veterinary Laboratories Agency,animal-health-and-veterinary-laboratories-agency,862,517,all
National College for Teaching and Leadership,national-college-for-teaching-and-leadership,861,431,all
Tamworth Borough Council,tamworth-borough-council,860,102,all
Birmingham City Council,birmingham-city-council,857,175,all
Tate,tate,853,261,all
Transport for London,transport-for-london,838,240,all
Department for Social Development,department-for-social-development,814,494,all
Durham County Council,durham-county-council,814,140,all
Shropshire Council,shropshire-council,809,103,all
"Royal Botanic Gardens, Kew",royal-botanic-gardens-kew,797,451,all
Driving Standards Agency,driving-standards-agency,796,312,all
FCO Services,fco-services,783,131,all
Technology Strategy Board,technology-strategy-board,778,254,all
UK Border Agency,uk-border-agency,774,389,all
Charity Commission for England and Wales,charity-commission-for-england-and-wales,772,250,all
Scottish Court Service,scottish-court-service,761,365,all
Wiltshire Council,wiltshire-council,759,295,all
Intellectual Property Office,intellectual-property-office,737,185,all
Audit Commission,audit-commission,729,105,all
Government Procurement Service,government-procurement-service,725,337,all
NHS England,nhs-england,725,183,all
Worcestershire County Council,worcestershire-county-council,717,90,all
Defence Infrastructure Organisation,defence-infrastructure-organisation,709,197,all
Medical Research Council,medical-research-council,687,299,all
Education Funding Agency,education-funding-agency,671,321,all
Wales Office,wales-office,668,135,all
Human Fertilisation and Embryology Authority,human-fertilisation-and-embryology-authority,657,83,all
Economic and Social Research Council,economic-and-social-research-council,646,57,all
Chartered Institute of Public Finance and Accountancy,chartered-institute-of-public-finance-and-accountancy,640,418,all
Engineering and Physical Sciences Research Council,engineering-and-physical-sciences-research-council,633,261,all
Maritime and Coastguard Agency,maritime-and-coastguard-agency,630,331,all
Sandwell Metropolitan Borough Council,sandwell-metropolitan-borough-council,623,165,all
Office of the Prime Minister,office-of-the-prime-minister,622,147,all
Service Personnel and Veterans Agency,service-personnel-and-veterans-agency,618,323,all
Dudley Metropolitan Borough Council,dudley-metropolitan-borough-council,616,42,all
The Pensions Regulator,the-pensions-regulator,610,276,all
Health and Safety Laboratory,health-and-safety-laboratory,604,59,all
Office of Fair Trading,office-of-fair-trading,600,207,all
Southwark London Borough Council,southwark-london-borough-council,599,72,all
Gateshead Council,gateshead-council,599,92,all
Rhondda Cynon Taff County Borough Council,rhondda-cynon-taff-county-borough-council,596,79,all
The Insolvency Service,the-insolvency-service,594,286,all
Export Credits Guarantee Department,export-credits-guarantee-department,593,85,all
Office for Civil Society,office-for-civil-society,591,207,all
Mansfield District Council,mansfield-district-council,589,53,all
Police Service of Northern Ireland,police-service-of-northern-ireland,583,260,all
Child Maintenance and Enforcement Commission,child-maintenance-and-enforcement-commission,582,152,all
Water Services Regulation Authority,water-services-regulation-authority,582,148,all
HM Courts Service,hm-courts-service,573,114,all
Biotechnology and Biological Sciences Research Council,biotechnology-and-biological-sciences-research-council,572,93,all
South Gloucestershire Council,south-gloucestershire-council,568,125,all
Sandwell Mental Health and Social Care NHS Foundation Trust,sandwell-mental-health-and-social-care-nhs-foundation-trust,564,211,all
Dorset County Council,dorset-county-council,561,53,all
Directly Operated Railways Limited,directly-operated-railways,558,191,all
Valuation Tribunal Service,valuation-tribunal-service,556,43,all
Tameside Hospital NHS Foundation Trust,tameside-hospital-nhs-foundation-trust,554,213,all
Aylesbury Vale District Council,aylesbury-vale-district-council,547,39,all
Hillsborough Independent Panel,hillsborough-independent-panel,539,234,all
Northampton Borough Council,northampton-borough-council,532,63,all
NHS Hertfordshire,nhs-hertfordshire,531,211,all
Renewable Fuels Agency,renewable-fuels-agency,530,67,all
Scotland Office,scotland-office,530,110,all
London Borough of Richmond Upon Thames,london-borough-of-richmond-upon-thames,520,21,all
Defence Support Group,defence-support-group,509,46,all
Torbay and Southern Devon Health and Care NHS Trust,torbay-and-southern-devon-health-and-care-nhs-trust,507,30,all
Vehicle Certification Agency,vehicle-certification-agency,505,207,all
City and County of Swansea,swansea-city-council,502,15,all
Judicial Office,judicial-office,494,293,all
East Staffordshire Borough Council,east-staffordshire-borough-council,494,100,all
Energy Saving Trust,energy-saving-trust,481,211,all
East of England Ambulance Service NHS Trust,east-of-england-ambulance-service-nhs-trust,471,134,all
Youth Justice Board,youth-justice-board,469,199,all
Young People's Learning Agency,young-peoples-learning-agency,467,15,all
National Army Museum,national-army-museum,463,97,all
United Kingdom Atomic Energy Authority,united-kingdom-atomic-energy-authority,462,140,all
Wirral Metropolitan Borough Council,wirral-metropolitan-borough-council,460,28,all
Ashfield District Council,ashfield-district-council,458,48,all
Training and Development Agency for Schools,training-and-development-agency-for-schools,453,173,all
Attorney General's Office,attorney-generals-office,442,100,all
Royal Armouries,royal-armouries,440,81,all
Veterinary Medicines Directorate,veterinary-medicines-directorate,439,188,all
Hambleton District Council,hambleton-district-council,439,47,all
Capital For Enterprise Ltd,capital-for-enterprise-ltd,438,91,all
Government Digital Services,government-digital-services,437,105,all
Exmoor National Park Authority,exmoor-national-park,437,64,all
"Barking, Havering and Redbridge University Hospitals NHS Trust",barking-havering-and-redbridge-university-hospitals-nhs-trust,429,39,all
Milton Keynes Hospital NHS Foundation Trust,milton-keynes-hospital-nhs-foundation-trust,422,107,all
Cheshire West and Chester Council,cheshire-west-and-chester-council,419,87,all
Science and Technology Facilities Council,science-and-technology-facilities-council,418,43,all
NHS Blood and Transplant,nhs-blood-and-transplant,416,77,all
George Eliot Hospital NHS Trust,george-eliot-hospital-nhs-trust,409,93,all
Legal Services Commission,legal-services-commission,405,198,all
Walsall Hospitals NHS Trust,walsall-hospitals-nhs-trust,404,84,all
East Midlands Ambulance Services NHS Trust,east-midlands-ambulance-services-nhs-trust,402,156,all
Cambridgeshire Insight,cambridgeshire-insight,401,40,all
Children's Workforce Development Council,childrens-workforce-development-council,401,28,all
NHS Litigation Authority,nhs-litigation-authority,388,95,all
National Museum of Science and Industry,national-museum-of-science-and-industry,386,172,all
Equality and Human Rights Commission,equality-and-human-rights-commission,380,93,all
NHS North Lincolnshire,nhs-north-lincolnshire,379,8,all
South West London and St George's Mental Health NHS Trust,south-west-london-and-st-georges-mental-health-nhs-trust,378,19,all
National Measurement Office,national-measurement-office,378,86,all
Gedling Borough Council,gedling-borough-council,371,78,all
"Advisory, Conciliation and Arbitration Service",advisory-conciliation-and-arbitration-service,371,64,all
Veterinary Laboratories Agency,veterinary-laboratories-agency,369,166,all
Imperial College Healthcare NHS Trust,imperial-college-healthcare-nhs-trust,364,119,all
National Lottery Commission,national-lottery-commission,359,169,all
Bournemouth Borough Council,bournemouth-borough-council,359,179,all
Animal Health,animal-health,354,117,all
Buckinghamshire County Council,buckinghamshire-county-council,350,46,all
Surrey and Sussex Healthcare NHS Trust,surrey-and-sussex-healthcare-nhs-trust,348,60,all
Staffordshire and Stoke on Trent Partnership NHS Trust ,staffordshire-and-stoke-on-trent-partnership-nhs-trust,343,228,all
Children and Family Court Advisory and Support Service,children-and-family-court-advisory-and-support-service,338,63,all
Norwich City Council,norwich-city-council,337,24,all
Security Industry Authority,security-industry-authority,336,188,all
Kirklees Council,kirklees-council,336,169,all
London Borough of Tower Hamlets,london-borough-of-tower-hamlets,334,23,all
Government Equalities Office,government-equalities-office,332,84,all
Musgrove Park Hospital,musgrove-park-hospital,332,46,all
North West Ambulance Service NHS Trust,north-west-ambulance-service-nhs-trust,331,46,all
The Pennine Acute Hospitals NHS Trust,the-pennine-acute-hospitals-nhs-trust,324,48,all
Local Government Ombudsman,local-government-ombudsman,322,46,all
Croydon Health Services NHS Trust,croydon-health-services-nhs-trust,319,93,all
Stroud District Council,stroud-district-council,319,19,all
UK Trade and Investment,uk-trade-and-investment,313,157,all
Royal Borough of Windsor and Maidenhead,royal-borough-of-windsor-and-maidenhead,311,36,all
Arts and Humanities Research Council,arts-and-humanities-research-council,311,55,all
Lincolnshire Community Health Services NHS Trust,lincolnshire-community-health-services-nhs-trust,307,81,all
The Mid Yorkshire Hospitals NHS Trust,the-mid-yorkshire-hospitals-nhs-trust,306,55,all
Pembrokeshire Coast National Park Authority,pembrokeshire-coast-national-park-authority,303,115,all
NHS Leeds,nhs-leeds,302,25,all
Worcestershire Acute Hospitals NHS Trust,worcestershire-acute-hospitals-nhs-trust,301,13,all
Broads Authority,broads-authority,300,23,all
East Riding of Yorkshire Council,east-riding-of-yorkshire-council,298,29,all
Preston City Council,preston-city-council,297,34,all
East Devon District Council,east-devon-district-council,296,30,all
Civil Service Learning,civil-service-learning,296,85,all
Criminal Cases Review Commission,criminal-cases-review-commission,292,142,all
UK National Air Quality Archive,uk-national-air-quality-archive,291,14,all
2gether NHS Foundation Trust,2gether-nhs-foundation-trust,291,34,all
Calderstones Partnership NHS Foundation Trust,calderstones-partnership-nhs-foundation-trust,286,65,all
Liverpool Community Health NHS Trust,liverpool-community-health-nhs-trust,284,62,all
National Savings and Investments,national-savings-and-investments,283,112,all
Brighton and Sussex University Hospitals NHS Trust,brighton-and-sussex-university-hospitals-nhs-trust,279,135,all
Portsmouth Hospital NHS Trust,portsmouth-hospital-nhs-trust,279,67,all
National College for Leadership of Schools and Children's Services,national-college-for-leadership-of-schools-and-childrens-services,278,116,all
University Hospitals Coventry and Warwickshire NHS Trust,university-hospitals-coventry-and-warwickshire-nhs-trust,276,62,all
Registers of Scotland,registers-of-scotland,272,22,all
"Blackpool, Fylde & Wyre Hospitals NHS Foundation Trust",blackpool-fylde-wyre-hospitals-nhs-foundation-trust,272,99,all
Construction Industry Training Board,construction-industry-training-board,271,124,all
Ryedale District Council,ryedale-district-council,270,63,all
NHS Cornwall and Isles of Scilly,nhs-cornwall-and-isles-of-scilly,270,31,all
Staffordshire County Council,staffordshire-county-council,268,7,all
Northern Devon Healthcare NHS Trust,northern-devon-healthcare-nhs-trust,268,57,all
East Sussex Hospitals NHS Trust,east-sussex-hospitals-nhs-trust,267,82,all
Kingston Hospital NHS Trust,kingston-hospital-nhs-trust,266,28,all
London Borough of Redbridge,london-borough-of-redbridge,264,39,all
Snowdonia National Park Authority,snowdonia-national-park-authority,264,82,all
Coventry and Warwickshire Partnership NHS Trust,coventry-and-warwickshire-partnership-nhs-trust,262,21,all
Wilton Park Executive Agency,wilton-park-executive-agency,262,74,all
Borough Council of King's Lynn and West Norfolk,borough-council-of-king-s-lynn-and-west-norfolk,260,34,all
Hertfordshire County Council,hertfordshire-county-council,259,100,all
Scarborough Borough Council,scarborough-borough-council,257,20,all
Visit England,visit-england,256,101,all
The Christie NHS Foundation Trust,the-christie-nhs-foundation-trust,252,32,all
Skills for Care,skills-for-care,252,136,all
Office of the First and Deputy First Minister,office-of-the-first-and-deputy-first-minister,250,124,all
Thurrock Thames Gateway Development Corporation,thurrock-thames-gateway-development-corporation,248,96,all
Parole Board,parole-board,247,140,all
NHS Wiltshire,nhs-wiltshire,246,24,all
London Ambulance Service NHS Trust,london-ambulance-service-nhs-trust,246,35,all
Central Manchester University Hospitals NHS Foundation Trust,central-manchester-university-hospitals-nhs-foundation-trust,246,43,all
Avon and Wiltshire Mental Health Partnership NHS Trust,avon-and-wiltshire-mental-health-partnership-nhs-trust,246,40,all
British Council,british-council,244,71,all
The National Gallery,the-national-gallery,240,100,all
Norfolk Community Health and Care NHS Trust,norfolk-community-health-and-care-nhs-trust,239,24,all
Bethnal Green Ventures,bethnal-green-ventures,239,45,all
Wigan Metropolitan District Council,wigan-metropolitan-district-council,236,108,all
St Helens and Knowsley Teaching Hospitals NHS Trust,st-helens-and-knowsley-teaching-hospitals-nhs-trust,235,43,all
Department for Employment and Learning,department-for-employment-and-learning,232,120,all
Leeds Community Healthcare NHS Trust,leeds-community-healthcare-nhs-trust,230,40,all
Mole Valley District Council,mole-valley-district-council,230,19,all
Dudley and Walsall Mental Health Partnership NHS Trust,dudley-and-walsall-mental-health-partnership-nhs-trust,229,19,all
Brecon Beacons National Park Authority,brecon-beacons-national-park-authority,228,40,all
Architects Registration Board,architects-registration-board,228,65,all
Royal Cornwall Hospitals NHS Trust,royal-cornwall-hospitals-nhs-trust,225,56,all
National Maritime Museum,national-maritime-museum,225,52,all
West Midlands Strategic Health Authority,west-midlands-strategic-health-authority,225,23,all
NHS Bath and North East Somerset CCG,nhs-bath-and-north-east-somerset-ccg,224,7,all
Mersey Care NHS Trust,mersey-care-nhs-trust,224,9,all
Yorkshire Dales National Park Authority,yorkshire-dales-national-park-authority,222,44,all
Frimley Park Hospital NHS Foundation Trust,frimley-park-hospital-nhs-foundation-trust,222,45,all
Criminal Injuries Compensation Authority,criminal-injuries-compensation-authority,220,56,all
Uk Government,ukgov,220,23,all
Cornwall Partnership NHS Foundation Trust,cornwall-partnership-nhs-foundation-trust,215,16,all
National Health Service,national-health-service,214,40,all
Independent Housing Ombudsman,independent-housing-ombudsman,213,44,all
Hull and East Yorkshire Hospitals NHS Trust,hull-and-east-yorkshire-hospitals-nhs-trust,211,64,all
Cheltenham Borough Council,cheltenham-borough-council,211,27,all
Trinity House Lighthouse Service,trinity-house-lighthouse-service,211,55,all
Norfolk and Waveney Mental Health NHS Foundation Trust,norfolk-and-waveney-mental-health-nhs-foundation-trust,210,101,all
Salford Primary Care Trust,salford-primary-care-trust,210,12,all
Dartmoor National Park Authority,dartmoor-national-park-authority,210,49,all
National Museums Liverpool,national-museums-liverpool,209,73,all
Advantage West Midlands,advantage-west-midlands,207,11,all
UK Space Agency,uk-space-agency,207,56,all
Western Sussex Hospitals NHS Trust,western-sussex-hospitals-nhs-trust,205,28,all
National School of Government,national-school-of-government,203,92,all
Derbyshire Dales District Council,derbyshire-dales-district-council,201,21,all
NHS Wolverhampton CCG,nhs-wolverhampton-ccg,201,7,all
Wrexham County Borough Council,wrexham-county-borough-council,199,10,all
West Somerset District Council,west-somerset-district-council,198,8,all
Buckinghamshire Healthcare NHS Trust,buckinghamshire-healthcare-nhs-trust,196,19,all
Basildon and Thurrock University Hospitals NHS Foundation Trust,basildon-and-thurrock-university-hospitals-nhs-foundation-trust,193,36,all
Dudley Group of Hospitals NHS Foundation Trust,dudley-group-of-hospitals-nhs-foundation-trust,193,35,all
North Cumbria University Hospitals NHS Trust,north-cumbria-university-hospitals-nhs-trust,190,44,all
Social Incubator North,social-incubator-north,188,39,all
Bradford District Care Trust,bradford-district-care-trust,188,41,all
National Association of Local Councils,national-association-of-local-councils,186,8,all
"NHS Heywood, Middleton and Rochdale Primary Care Trust",nhs-heywood-middleton-and-rochdale-primary-care-trust,184,10,all
Royal Borough of Greenwich,royal-borough-of-greenwich,183,61,all
Competition Commission,competition-commission,182,49,all
East Cambridgeshire District Council,east-cambridgeshire-district-council,182,14,all
The Northern Lighthouse Board,the-northern-lighthouse-board,182,46,all
Horserace Betting Levy Board,horserace-betting-levy-board,181,37,all
Transport for Greater Manchester,transport-for-greater-manchester,180,8,all
UK Sport,uk-sport,180,24,all
NHS Institute for Innovation and Improvement,nhs-institute-for-innovation-and-improvement,180,46,all
Railway Heritage Committee,railway-heritage-committee,180,74,all
NHS Kent and Medway,nhs-kent-and-medway,179,29,all
Olympic Lottery Distributor,olympic-lottery-distributor,178,37,all
UK Supreme Court,uk-supreme-court,178,88,all
South Norfolk District Council,south-norfolk-district-council,178,33,all
NHS Rotherham,nhs-rotherham,176,20,all
Thurrock Council,thurrock-council,176,24,all
Walsall Council,walsall-council,175,68,all
Whittington Hospital NHS Trust,whittington-hospital-nhs-trust,174,17,all
Burton Hospitals NHS Foundation Trust,burton-hospitals-nhs-foundation-trust,174,17,all
Ridgeway Partnership,ridgeway-partnership,172,2,all
Eurostat,eurostat,171,59,all
Woking Borough Council,woking-borough-council,170,40,all
Partnerships for Schools,partnerships-for-schools,169,61,all
NHS Stockport CCG,nhs-stockport-ccg,169,50,all
Royal Liverpool and Broadgreen University Hospital NHS Trust,royal-liverpool-and-broadgreen-university-hospital-nhs-trust,169,29,all
Leicester City Council,leicester-city-council,168,3,all
Wirral Community NHS Trust,wirral-community-nhs-trust,167,39,all
NHS Business Services Authority,nhs-business-services-authority,166,48,all
General Social Care Council,general-social-care-council,163,20,all
Legal Services Board,legal-services-board,163,58,all
Companies Investigation Branch,companies-investigation-branch,162,50,all
Airedale NHS Foundation Trust,airedale-nhs-foundation-trust,162,24,all
NHS Nottingham City,nhs-nottingham-city,160,41,all
East Lancashire Hospitals NHS Trust,east-lancashire-hospitals-nhs-trust,159,39,all
The Social Investment Business Group,the-social-investment-business-group,157,23,all
Northumberland County Council,northumberland-county-council,156,49,all
Office of the Children's Commissioner,office-of-the-childrens-commissioner,155,59,all
Infrastructure Planning Commission,infrastructure-planning-commission,154,71,all
Government Car and Despatch Agency,government-car-and-despatch-agency,154,65,all
North Tyneside Metropolitan Borough Council,north-tyneside-metropolitan-borough-council,153,31,all
Guys and St Thomas NHS Foundation Trust,guys-and-st-thomas-nhs-foundation-trust,152,32,all
Kirklees Primary Care Trust,kirklees-primary-care-trust,151,4,all
Calderdale Metropolitan Borough Council,calderdale-metropolitan-borough-council,151,8,all
Chiltern District Council,chiltern-district-council,150,26,all
Agri-Food and Biosciences Institute,agri-food-and-biosciences-institute,150,66,all
National Employment Savings Trust,national-employment-savings-trust,150,46,all
NHS Great Yarmouth and Waveney CCG,nhs-great-yarmouth-and-waveney-ccg,149,14,all
The Wallace Collection,the-wallace-collection,149,32,all
NHS Nottingham North & East CCG,nhs-nottingham-north-east-ccg,148,25,all
NHS Bury,nhs-bury,148,17,all
South Warwickshire NHS Foundation Trust,south-warwickshire-nhs-foundation-trust,148,41,all
Sea Fish Industry Authority,sea-fish-industry-authority,148,19,all
Buying Solutions,buying-solutions,147,36,all
City of York Council,city-of-york-council,147,17,all
Surrey Heath Borough Council,surrey-heath-borough-council,146,39,all
North Middlesex University Hospital NHS Trust,north-middlesex-university-hospital-nhs-trust,145,24,all
Prisons and Probation Ombudsman,prisons-and-probation-ombudsman,144,38,all
Kent County Council,kent-county-council,144,56,all
Isle of Wight NHS Trust,isle-of-wight-nhs-trust,143,14,all
Harlow Council,harlow-council,141,12,all
HM Inspectorate of Prisons,hm-inspectorate-of-prisions,141,69,all
Gloucestershire County Council,gloucestershire-county-council,140,10,all
Bracknell Forest Council,bracknell-forest-council,139,23,all
Pensions Ombudsman,pensions-ombudsman,139,53,all
Barts and The London NHS Trust,barts-and-the-london-nhs-trust,139,21,all
Worcestershire Health and Care NHS Trust,worcestershire-health-and-care-nhs-trust,139,8,all
Royal Free Hampstead NHS Trust,royal-free-hampstead-nhs-trust,139,41,all
Malvern Hills District Council,malvern-hills-district-council,138,5,all
Epsom and St Helier University Hospitals NHS Trust,epsom-and-st-helier-university-hospitals-nhs-trust,138,27,all
